Company Name,Industry,Symbol,Series,ISIN Code
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01016
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
